id_contratista,nombre_empresa,especialidad,fecha_inicio_contrato
CT-01,Jonathan Ortega E.I.R.L.,Verificación Metrológica,2023-07-15
CT-02,Despacho Castro y Asociados S.p.A.,Terreno General,2024-03-31
CT-03,Rodríguez y Celis SPA,Terreno General,2026-02-26
CT-04,Antonio Salinas Carrillo E.I.R.L.,Terreno General,2026-01-12
CT-05,Mena y Torres Limitada,Cambio de Medidores,2024-03-24
CT-06,"Club Quiroga, Ceballos y Paredes S.A.",Verificación Metrológica,2023-11-06
CT-07,Peña Limitada,Cambio de Medidores,2023-10-31
CT-08,Faúndez y González S.A.,Verificación Metrológica,2022-12-04
CT-09,"Laboratorio Ulloa, Chacón y Ibáñez S.A.",Verificación Metrológica,2025-12-26
CT-10,"Segura, Lazo y Villanueva Sociedad Anónima",Cambio de Medidores,2024-02-28
