id_medidor,id_cliente,marca,diametro_mm,fecha_instalacion,antiguedad_anios,fecha_ultima_verificacion_metrologica,requiere_verificacion,estado_medidor
MD-00001,CL-00001,Itron,19,2023-09-05,2,,False,Activo
MD-00002,CL-00002,Sensus,13,2019-03-19,6,2021-05-20,False,Activo
MD-00003,CL-00003,Elster,13,2018-12-01,7,2022-04-24,False,Activo
MD-00004,CL-00004,Itron,13,2021-11-05,4,2022-04-13,False,Activo
MD-00005,CL-00005,Elster,19,2020-01-05,5,2021-11-02,False,Activo
MD-00006,CL-00006,Itron,13,2021-06-24,4,2024-08-09,False,Activo
MD-00007,CL-00007,Actaris,13,2024-09-19,1,,False,Activo
MD-00008,CL-00008,Elster,15,2012-07-04,13,2020-11-06,True,Activo
MD-00009,CL-00009,Itron,15,2020-07-15,5,2024-12-21,False,Activo
MD-00010,CL-00010,Actaris,13,2013-08-20,12,2023-06-10,False,Activo
MD-00011,CL-00011,Elster,13,2011-10-09,14,2025-06-21,False,Activo
MD-00012,CL-00012,Sensus,25,2012-10-17,13,2024-07-06,False,Activo
MD-00013,CL-00013,Actaris,13,2021-12-09,4,2026-06-15,False,Activo
MD-00014,CL-00014,Itron,13,2022-09-17,3,2021-02-06,False,Activo
MD-00015,CL-00015,Sensus,13,2019-11-03,6,2024-04-02,False,Activo
MD-00016,CL-00016,Sensus,15,2023-02-24,2,,False,Activo
MD-00017,CL-00017,Itron,13,2016-11-23,9,2026-02-08,False,Activo
MD-00018,CL-00018,Elster,13,2020-04-27,5,2024-10-23,False,Activo
MD-00019,CL-00019,Itron,15,2014-03-20,11,2023-02-07,False,Activo
MD-00020,CL-00020,Itron,13,2012-05-02,13,2021-04-05,False,Activo
MD-00021,CL-00021,Elster,15,2015-10-09,10,2024-01-07,False,Activo
MD-00022,CL-00022,Zenner,13,2020-09-27,5,2024-04-28,False,Activo
MD-00023,CL-00023,Itron,13,2024-04-01,1,,False,Activo
MD-00024,CL-00024,Itron,15,2016-05-15,9,2021-03-10,False,Activo
