id_auditoria,id_contratista,id_medidor,fecha_auditoria,tipo_trabajo,cumple_estandar,observaciones
AU-0001,CT-02,MD-00630,2025-11-01,Verificación Metrológica,1,
AU-0002,CT-02,MD-00068,2025-07-05,Revisión por Reclamo,0,No se registró lectura inicial
AU-0003,CT-04,MD-01500,2025-05-11,Instalación Nueva,1,
AU-0004,CT-06,MD-00852,2025-04-18,Cambio de Medidor,1,
AU-0005,CT-04,MD-00426,2025-04-18,Cambio de Medidor,1,
AU-0006,CT-02,MD-00044,2025-10-29,Instalación Nueva,1,
AU-0007,CT-10,MD-00938,2025-03-16,Cambio de Medidor,1,
AU-0008,CT-08,MD-00580,2025-07-25,Instalación Nueva,1,
AU-0009,CT-10,MD-00550,2025-02-01,Cambio de Medidor,1,
AU-0010,CT-03,MD-00988,2025-06-07,Instalación Nueva,1,
AU-0011,CT-09,MD-00671,2025-09-15,Instalación Nueva,1,
AU-0012,CT-07,MD-00086,2025-04-29,Instalación Nueva,0,Documentación incompleta
AU-0013,CT-08,MD-01357,2025-04-01,Verificación Metrológica,1,
AU-0014,CT-01,MD-01231,2025-04-15,Revisión por Reclamo,1,
AU-0015,CT-04,MD-00440,2025-04-16,Verificación Metrológica,1,
AU-0016,CT-10,MD-00705,2025-02-14,Verificación Metrológica,1,
AU-0017,CT-07,MD-00643,2025-03-07,Verificación Metrológica,0,Documentación incompleta
AU-0018,CT-01,MD-01499,2025-07-30,Revisión por Reclamo,0,Documentación incompleta
AU-0019,CT-08,MD-00354,2025-04-09,Instalación Nueva,0,No se registró lectura inicial
AU-0020,CT-02,MD-00873,2025-01-06,Cambio de Medidor,1,
AU-0021,CT-09,MD-00157,2025-11-09,Revisión por Reclamo,0,Medidor mal nivelado
AU-0022,CT-06,MD-01066,2025-11-01,Instalación Nueva,1,
AU-0023,CT-05,MD-00939,2025-02-27,Verificación Metrológica,1,
AU-0024,CT-01,MD-00778,2025-09-09,Cambio de Medidor,1,
AU-0025,CT-09,MD-01198,2025-09-30,Cambio de Medidor,1,
AU-0026,CT-10,MD-01246,2025-06-17,Verificación Metrológica,1,
AU-0027,CT-04,MD-01067,2025-03-20,Revisión por Reclamo,0,Plazo de ejecución excedido
AU-0028,CT-08,MD-00310,2025-05-05,Cambio de Medidor,1,
AU-0029,CT-05,MD-01306,2025-01-29,Instalación Nueva,1,
AU-0030,CT-05,MD-00285,2025-11-15,Revisión por Reclamo,1,
AU-0031,CT-01,MD-00006,2025-08-26,Revisión por Reclamo,1,
AU-0032,CT-02,MD-00195,2025-09-20,Instalación Nueva,1,
AU-0033,CT-08,MD-00741,2025-05-22,Revisión por Reclamo,1,
AU-0034,CT-03,MD-01120,2025-04-18,Cambio de Medidor,0,Plazo de ejecución excedido
AU-0035,CT-06,MD-01118,2025-10-29,Revisión por Reclamo,1,
AU-0036,CT-04,MD-00148,2025-06-22,Instalación Nueva,0,No se registró lectura inicial
AU-0037,CT-09,MD-00584,2025-04-16,Instalación Nueva,1,
AU-0038,CT-04,MD-01389,2025-03-12,Instalación Nueva,1,
AU-0039,CT-08,MD-01376,2025-12-04,Verificación Metrológica,1,
AU-0040,CT-08,MD-00805,2025-11-16,Revisión por Reclamo,1,
AU-0041,CT-01,MD-00173,2025-01-27,Instalación Nueva,1,
AU-0042,CT-02,MD-01117,2025-08-23,Verificación Metrológica,1,
AU-0043,CT-07,MD-00150,2025-01-04,Revisión por Reclamo,1,
AU-0044,CT-05,MD-00196,2025-05-04,Revisión por Reclamo,1,
AU-0045,CT-07,MD-00327,2025-05-11,Revisión por Reclamo,1,
AU-0046,CT-05,MD-00364,2025-04-04,Verificación Metrológica,1,
AU-0047,CT-02,MD-00608,2025-11-25,Instalación Nueva,0,No se registró lectura inicial
AU-0048,CT-05,MD-00057,2025-05-26,Verificación Metrológica,1,
AU-0049,CT-05,MD-00591,2025-04-21,Verificación Metrológica,1,
AU-0050,CT-04,MD-00951,2025-10-11,Instalación Nueva,1,
AU-0051,CT-02,MD-01268,2025-05-02,Verificación Metrológica,1,
AU-0052,CT-09,MD-01149,2025-11-27,Instalación Nueva,1,
AU-0053,CT-01,MD-00087,2025-11-22,Cambio de Medidor,1,
AU-0054,CT-07,MD-00769,2025-09-27,Instalación Nueva,1,
AU-0055,CT-07,MD-01472,2025-05-07,Verificación Metrológica,1,
AU-0056,CT-10,MD-01197,2025-02-28,Verificación Metrológica,1,
AU-0057,CT-01,MD-00815,2025-02-11,Verificación Metrológica,1,
AU-0058,CT-04,MD-01102,2025-07-11,Instalación Nueva,1,
AU-0059,CT-05,MD-00444,2025-04-25,Cambio de Medidor,1,
AU-0060,CT-02,MD-01223,2025-11-02,Instalación Nueva,1,
AU-0061,CT-08,MD-00328,2025-10-08,Cambio de Medidor,1,
AU-0062,CT-04,MD-01025,2025-01-21,Instalación Nueva,1,
AU-0063,CT-06,MD-00160,2025-07-20,Verificación Metrológica,1,
AU-0064,CT-02,MD-00660,2025-04-16,Revisión por Reclamo,1,
AU-0065,CT-04,MD-00419,2025-11-05,Revisión por Reclamo,0,Plazo de ejecución excedido
AU-0066,CT-02,MD-01151,2025-10-04,Revisión por Reclamo,1,
AU-0067,CT-09,MD-01332,2025-01-27,Revisión por Reclamo,1,
AU-0068,CT-04,MD-01257,2025-03-01,Instalación Nueva,1,
AU-0069,CT-10,MD-00358,2025-12-14,Instalación Nueva,1,
AU-0070,CT-09,MD-00978,2025-12-07,Cambio de Medidor,1,
AU-0071,CT-04,MD-00714,2025-04-25,Cambio de Medidor,0,Precinto de seguridad faltante
AU-0072,CT-10,MD-00547,2025-10-09,Cambio de Medidor,1,
AU-0073,CT-03,MD-00634,2025-10-20,Instalación Nueva,0,No se registró lectura inicial
AU-0074,CT-09,MD-00094,2025-12-05,Verificación Metrológica,1,
AU-0075,CT-08,MD-01330,2025-02-08,Revisión por Reclamo,1,
AU-0076,CT-01,MD-01416,2025-06-10,Verificación Metrológica,1,
AU-0077,CT-08,MD-00753,2025-09-21,Revisión por Reclamo,1,
AU-0078,CT-08,MD-00594,2025-03-03,Instalación Nueva,1,
AU-0079,CT-04,MD-01057,2025-07-07,Instalación Nueva,1,
AU-0080,CT-05,MD-00273,2025-11-24,Instalación Nueva,1,
AU-0081,CT-07,MD-00310,2025-02-03,Verificación Metrológica,1,
AU-0082,CT-08,MD-00618,2025-03-18,Cambio de Medidor,1,
AU-0083,CT-05,MD-00038,2025-07-05,Instalación Nueva,0,Plazo de ejecución excedido
AU-0084,CT-08,MD-00025,2025-11-29,Verificación Metrológica,1,
AU-0085,CT-02,MD-01119,2025-02-01,Cambio de Medidor,1,
AU-0086,CT-10,MD-00439,2025-11-07,Instalación Nueva,1,
AU-0087,CT-01,MD-01085,2025-09-24,Verificación Metrológica,1,
AU-0088,CT-04,MD-01013,2025-09-12,Instalación Nueva,1,
AU-0089,CT-01,MD-00849,2025-12-12,Instalación Nueva,1,
AU-0090,CT-07,MD-01053,2025-12-01,Cambio de Medidor,1,
AU-0091,CT-01,MD-00086,2025-01-23,Revisión por Reclamo,1,
AU-0092,CT-03,MD-01057,2025-03-31,Verificación Metrológica,1,
AU-0093,CT-04,MD-01322,2025-05-15,Revisión por Reclamo,1,
AU-0094,CT-07,MD-00782,2025-04-01,Verificación Metrológica,1,
AU-0095,CT-10,MD-00092,2025-09-02,Instalación Nueva,1,
AU-0096,CT-03,MD-00165,2025-12-08,Cambio de Medidor,1,
AU-0097,CT-10,MD-00061,2025-03-02,Verificación Metrológica,1,
AU-0098,CT-05,MD-00132,2025-11-15,Cambio de Medidor,1,
AU-0099,CT-03,MD-01116,2025-02-05,Revisión por Reclamo,1,
AU-0100,CT-08,MD-00190,2025-07-31,Cambio de Medidor,1,
AU-0101,CT-03,MD-01440,2025-05-09,Cambio de Medidor,0,No se registró lectura inicial
AU-0102,CT-04,MD-00331,2025-06-11,Verificación Metrológica,1,
AU-0103,CT-02,MD-01067,2025-10-20,Revisión por Reclamo,1,
AU-0104,CT-04,MD-00668,2025-12-07,Revisión por Reclamo,1,
AU-0105,CT-04,MD-00365,2025-10-22,Instalación Nueva,1,
AU-0106,CT-07,MD-01427,2025-10-20,Instalación Nueva,1,
AU-0107,CT-10,MD-00963,2025-09-13,Revisión por Reclamo,1,
AU-0108,CT-03,MD-01370,2025-02-05,Revisión por Reclamo,1,
AU-0109,CT-08,MD-00391,2025-01-23,Revisión por Reclamo,1,
AU-0110,CT-04,MD-01026,2025-04-20,Verificación Metrológica,1,
AU-0111,CT-01,MD-00561,2025-06-14,Cambio de Medidor,1,
AU-0112,CT-03,MD-00149,2025-03-09,Cambio de Medidor,1,
AU-0113,CT-01,MD-00870,2025-02-01,Verificación Metrológica,1,
AU-0114,CT-01,MD-00528,2025-01-31,Instalación Nueva,1,
AU-0115,CT-01,MD-01097,2025-09-09,Instalación Nueva,1,
AU-0116,CT-03,MD-01140,2025-01-31,Cambio de Medidor,1,
AU-0117,CT-03,MD-00523,2025-03-28,Revisión por Reclamo,1,
AU-0118,CT-09,MD-00723,2025-04-26,Revisión por Reclamo,1,
AU-0119,CT-07,MD-00796,2025-08-12,Instalación Nueva,1,
AU-0120,CT-06,MD-00662,2025-05-07,Instalación Nueva,1,
AU-0121,CT-10,MD-01026,2025-10-23,Instalación Nueva,0,Medidor mal nivelado
AU-0122,CT-09,MD-00006,2025-11-28,Instalación Nueva,1,
AU-0123,CT-06,MD-00396,2025-04-22,Cambio de Medidor,1,
AU-0124,CT-04,MD-00626,2025-01-14,Verificación Metrológica,1,
AU-0125,CT-05,MD-00127,2025-01-21,Cambio de Medidor,1,
AU-0126,CT-02,MD-00025,2025-04-17,Instalación Nueva,1,
AU-0127,CT-09,MD-00355,2025-01-04,Revisión por Reclamo,1,
AU-0128,CT-08,MD-00682,2025-06-03,Revisión por Reclamo,1,
AU-0129,CT-10,MD-00745,2025-01-31,Cambio de Medidor,1,
AU-0130,CT-05,MD-00614,2025-09-05,Instalación Nueva,1,
AU-0131,CT-03,MD-00157,2025-11-08,Instalación Nueva,1,
AU-0132,CT-06,MD-01412,2025-08-03,Verificación Metrológica,1,
AU-0133,CT-09,MD-00644,2025-11-06,Cambio de Medidor,1,
