id_lectura,id_medidor,fecha_lectura,lectura_acumulada_m3,consumo_m3,tipo_anomalia_real,tipo_anomalia_detectada
LC-0000001,MD-00001,2025-01-01,4971.3,13.91,Normal,Normal
LC-0000002,MD-00001,2025-02-01,4985.17,13.86,Normal,Normal
LC-0000003,MD-00001,2025-03-01,4998.37,13.21,Normal,Normal
LC-0000004,MD-00001,2025-04-01,5010.72,12.35,Normal,Normal
LC-0000005,MD-00001,2025-05-01,5024.59,13.87,Normal,Normal
LC-0000006,MD-00001,2025-06-01,5038.02,13.43,Normal,Normal
LC-0000007,MD-00001,2025-07-01,5049.87,11.85,Normal,Normal
LC-0000008,MD-00001,2025-08-01,5062.4,12.52,Normal,Normal
LC-0000009,MD-00001,2025-09-01,5076.14,13.75,Normal,Normal
LC-0000010,MD-00001,2025-10-01,5089.16,13.02,Normal,Normal
LC-0000011,MD-00001,2025-11-01,5103.19,14.02,Normal,Normal
LC-0000012,MD-00001,2025-12-01,5115.74,12.55,Normal,Normal
LC-0000013,MD-00002,2025-01-01,1269.49,11.17,Normal,Normal
LC-0000014,MD-00002,2025-02-01,1280.72,11.23,Normal,Normal
LC-0000015,MD-00002,2025-03-01,1292.29,11.58,Normal,Normal
LC-0000016,MD-00002,2025-04-01,1303.07,10.77,Normal,Normal
LC-0000017,MD-00002,2025-05-01,1313.25,10.19,Normal,Normal
LC-0000018,MD-00002,2025-06-01,1324.51,11.25,Submedicion,Normal
LC-0000019,MD-00002,2025-07-01,1334.07,9.56,Submedicion,Normal
LC-0000020,MD-00002,2025-08-01,1341.95,7.88,Submedicion,Normal
LC-0000021,MD-00002,2025-09-01,1348.13,6.19,Submedicion,Normal
LC-0000022,MD-00002,2025-10-01,1352.64,4.5,Submedicion,Submedicion
LC-0000023,MD-00002,2025-11-01,1355.45,2.81,Submedicion,Submedicion
LC-0000024,MD-00002,2025-12-01,1357.7,2.25,Submedicion,Submedicion
LC-0000025,MD-00003,2025-01-01,1570.02,15.65,Normal,Normal
LC-0000026,MD-00003,2025-02-01,1586.09,16.07,Normal,Normal
LC-0000027,MD-00003,2025-03-01,1605.24,19.15,Normal,Normal
LC-0000028,MD-00003,2025-04-01,1621.34,16.1,Normal,Normal
LC-0000029,MD-00003,2025-05-01,1638.32,16.98,Normal,Normal
LC-0000030,MD-00003,2025-06-01,1655.54,17.22,Normal,Normal
LC-0000031,MD-00003,2025-07-01,1670.72,15.18,Normal,Normal
LC-0000032,MD-00003,2025-08-01,1686.1,15.38,Normal,Normal
LC-0000033,MD-00003,2025-09-01,1701.01,14.91,Normal,Normal
LC-0000034,MD-00003,2025-10-01,1716.35,15.33,Normal,Normal
LC-0000035,MD-00003,2025-11-01,1729.09,12.74,Normal,Normal
