id_reclamo,id_cliente,id_medidor,comuna,tipo_reclamo,fecha_reclamo,estado_reclamo,fecha_cierre,dias_resolucion,id_contratista_asignado
RC-00001,CL-01299,MD-01299,Hualpén,Error de Facturación,2025-01-16,Cerrado,2025-01-22,6.0,CT-07
RC-00002,CL-00148,MD-00148,Talcahuano,Consumo Elevado,2025-06-09,En Proceso,,,CT-03
RC-00003,CL-00906,MD-00906,San Pedro de la Paz,Fuga Visible,2025-10-07,Cerrado,2025-10-09,2.0,CT-06
RC-00004,CL-00490,MD-00490,San Pedro de la Paz,Error de Facturación,2025-07-02,En Proceso,,,CT-06
RC-00005,CL-01329,MD-01329,Hualpén,Consumo Elevado,2025-01-02,En Proceso,,,CT-07
RC-00006,CL-00037,MD-00037,Concepción,Fuga Visible,2025-09-23,En Proceso,,,CT-01
RC-00007,CL-00576,MD-00576,San Pedro de la Paz,Corte No Programado,2025-10-05,Cerrado,2025-10-15,10.0,CT-10
RC-00008,CL-01115,MD-01115,Hualpén,Error de Facturación,2025-04-29,Abierto,,,CT-01
RC-00009,CL-00979,MD-00979,Talcahuano,Error de Facturación,2025-02-17,Cerrado,2025-02-28,11.0,CT-08
RC-00010,CL-01117,MD-01117,Concepción,Medidor Detenido,2025-06-27,Cerrado,2025-07-02,5.0,CT-09
RC-00011,CL-00785,MD-00785,Concepción,Error de Facturación,2025-06-08,Abierto,,,CT-01
RC-00012,CL-01026,MD-01026,Talcahuano,Medidor Detenido,2025-11-22,En Proceso,,,CT-10
RC-00013,CL-00851,MD-00851,Concepción,Consumo Elevado,2025-12-10,Abierto,,,CT-10
RC-00014,CL-00866,MD-00866,Talcahuano,Medidor Detenido,2025-09-15,Cerrado,2025-09-24,9.0,CT-07
RC-00015,CL-00188,MD-00188,Talcahuano,Fuga Visible,2025-08-01,En Proceso,,,CT-02
RC-00016,CL-00658,MD-00658,Talcahuano,Solicitud Cambio de Medidor,2025-05-20,Abierto,,,CT-04
RC-00017,CL-00807,MD-00807,San Pedro de la Paz,Fuga Visible,2025-05-12,En Proceso,,,CT-04
RC-00018,CL-00218,MD-00218,Chiguayante,Fuga Visible,2025-12-02,Abierto,,,CT-08
RC-00019,CL-00348,MD-00348,Concepción,Medidor Detenido,2025-05-30,Abierto,,,CT-02
RC-00020,CL-00458,MD-00458,Talcahuano,Medidor Detenido,2025-07-24,Cerrado,2025-07-30,6.0,CT-03
RC-00021,CL-00880,MD-00880,Concepción,Consumo Elevado,2025-08-01,Cerrado,2025-08-16,15.0,CT-09
RC-00022,CL-00224,MD-00224,Talcahuano,Medidor Detenido,2025-03-31,Cerrado,2025-04-03,3.0,CT-04
RC-00023,CL-00371,MD-00371,Concepción,Medidor Detenido,2025-01-06,Abierto,,,CT-06
RC-00024,CL-00067,MD-00067,Concepción,Corte No Programado,2025-09-01,En Proceso,,,CT-08
RC-00025,CL-00789,MD-00789,Talcahuano,Consumo Elevado,2025-06-09,Cerrado,2025-06-12,3.0,CT-07
RC-00026,CL-00229,MD-00229,San Pedro de la Paz,Medidor Detenido,2025-10-24,Cerrado,2025-10-26,2.0,CT-05
RC-00027,CL-01042,MD-01042,Chiguayante,Fuga Visible,2025-08-12,Abierto,,,CT-10
RC-00028,CL-01308,MD-01308,Chiguayante,Consumo Elevado,2025-10-31,Cerrado,2025-11-06,6.0,CT-01
RC-00029,CL-01186,MD-01186,San Pedro de la Paz,Corte No Programado,2025-10-29,Abierto,,,CT-04
RC-00030,CL-00648,MD-00648,Hualpén,Consumo Elevado,2025-05-31,En Proceso,,,CT-04
RC-00031,CL-00633,MD-00633,Talcahuano,Error de Facturación,2025-01-18,Abierto,,,CT-09
RC-00032,CL-01150,MD-01150,San Pedro de la Paz,Fuga Visible,2025-10-22,Cerrado,2025-10-25,3.0,CT-05
RC-00033,CL-00914,MD-00914,Talcahuano,Solicitud Cambio de Medidor,2025-08-05,Abierto,,,CT-03
RC-00034,CL-01159,MD-01159,San Pedro de la Paz,Medidor Detenido,2025-11-13,Abierto,,,CT-02
RC-00035,CL-00927,MD-00927,Concepción,Corte No Programado,2025-01-29,Cerrado,2025-01-31,2.0,CT-09
RC-00036,CL-00258,MD-00258,Hualpén,Fuga Visible,2025-12-02,En Proceso,,,CT-09
RC-00037,CL-00149,MD-00149,Concepción,Solicitud Cambio de Medidor,2025-03-16,Abierto,,,CT-05
RC-00038,CL-00082,MD-00082,Hualpén,Fuga Visible,2025-07-02,Cerrado,2025-07-11,9.0,CT-01
RC-00039,CL-01185,MD-01185,Concepción,Consumo Elevado,2025-10-05,Abierto,,,CT-02
RC-00040,CL-00366,MD-00366,Talcahuano,Consumo Elevado,2025-11-27,Cerrado,2025-11-29,2.0,CT-08
RC-00041,CL-01345,MD-01345,Chiguayante,Solicitud Cambio de Medidor,2025-11-21,En Proceso,,,CT-10
